record_id,record_type,city,official_website,official_phone,official_email,official_wechat,showroom_locations,service_area,scope,budget_positioning,design_style,materials,environmental_standard,typical_timeline,verification_date,verified_by,vendor_label,vendor_name,contact_person,address,district,store_type,authorization,customer_segments,board_materials,recommended_boards,hardware,starting_price_projection,edge_band_material,edge_banding_process,edge_banding_equipment,cabinet_structure,cabinet_connectors_feet,measurement_design_fee,deposit_refund_policy,designer_team,rendering_cycle,outsourced_design,installation_team,damage_handling,floor_protection,aftersales_staff,warranty_policy,customization_cycle,retain_final_payment,payment_terms,creator_comment,strengths,caveats,source_name,source_type,source_author,source_date,source_page_or_rows,source_confidence
SH-001,vendor,上海,,,,,,上海 徐汇区 上海市徐汇区龙启路258号（绿地汇中心）,全屋定制；柜体定制,中高预算,,芙、芬萨、菲德来、水性科天、畔森ENF、模压板 柜体板建议：岭南木色海洋板、爱格、菲德莱、水性科天 油漆类产品基材：木皮、水性烤漆（欧松板、实木） 柜门板建议：爱格、可丽芙、菲德来、悦纹、靓时SPB,ENF；爱格；可丽芙；菲德莱；靓时；水性科天,一般为30天（工艺复杂特殊订单需延长5-10天） 交期较快，赔付标准需协商明确,,猴哥/大V白名单资料,门店一（白名单4.0门店）,,乐乐,上海市徐汇区龙启路258号（绿地汇中心）,徐汇区,写字楼工作室,上海唯一的靓时授权门店 水性科天,改善型客户/豪宅客户,芙、芬萨、菲德来、水性科天、畔森ENF、模压板 柜体板建议：岭南木色海洋板、爱格、菲德莱、水性科天 油漆类产品基材：木皮、水性烤漆（欧松板、实木） 柜门板建议：爱格、可丽芙、菲德来、悦纹、靓时SPB,板材品类 芙、芬萨、菲德来、水性科天、畔森ENF、模压板 柜体板建议：岭南木色海洋板、爱格、菲德莱、水性科天 油漆类产品基材：木皮、水性烤漆（欧松板、实木） 柜门板建议：爱格、可丽芙、菲德来、悦纹、靓时SPB,诺米，DTC，奥地利百隆，海蒂诗，萨里奇 国产五金优先考虑DTC,1350元/平,使用大厂封边带，类似华立、红棉花、兄奕、欧德雅等,封边设备 激光：豪迈激光封边机（璞缇工厂），PUR：豪迈PUR封边机 璞缇是国内全屋定制代工厂龙头企业，工艺水准较高,激光：豪迈激光封边机（璞缇工厂），PUR：豪迈PUR封边机 璞缇是国内全屋定制代工厂龙头企业，工艺水准较高,会根据实际情况而定，橱柜单元柜，衣柜不一定 建议有条件的客户上单元柜，更稳定耐用，单元柜用板量更大,国产四合一，二合一，无调整脚,当调整定金比例），再测量出图 会在免费设计的公司工作，因为工作强度和收入不成正比。建议根据自身需求选择,定金不退（可抵扣货款）,设计师2名,根据房屋大小，确定时间周期（1个星期左右） 常规水平,无,5名,根据订单总金额而定，金额大的会做地面保护，金额小的利润无法支持 地面保护主要是防止柜子安装过程中的划伤，特别是保护木地板，一套房的地面保护成本大约大几,进行地面保护 百的水平，也是体现商家服务水平比较直观的点。,老板亲自跟售后,五金加木作（5年质保）,一般为30天（工艺复杂特殊订单需延长5-10天） 交期较快，赔付标准需协商明确,否 个人认为是否留尾款不属于判断全屋定制是否靠谱的核心因素，奈何太多人关心，还是放上来,定金+签合同全款下单,上海土著事业型女老板开的一家工作室，对材料认知非常到位，亲自全程跟单，交付快，服务体验,设计/整案能力较强；交付速度有优势；售后响应配置较明确；柜体/封边工艺配置较完整,定金退款规则需提前确认；付款节点偏前，合同边界要写清；预算门槛可能偏高,白名单商家信息表-上海汇总(1).pdf,pdf,,,page 1,medium
SH-002,vendor,上海,,,,,,上海 宝山区 上海宝山区军工路,全屋定制；柜体定制；整案/设计服务；硬装；软装,中预算/性价比,,柜体板建议：爱格、菲德莱、吉林森工、兔宝宝 油漆类产品基材：红橡，樱桃木，胡桃木，北美黑胡桃，白蜡木，乌金 柜门板建议：爱格、菲德莱、可丽芙、善诺胜、福人精板 木,爱格；可丽芙；菲德莱；福人；兔宝宝,一般为45天工作日左右，油漆类60天左右 赔付标准需协商明确,,猴哥/大V白名单资料,门店二（白名单3.0门店）,,葱姐,上海宝山区军工路,宝山区,整案设计公司：硬装、活动家具、全屋定制、软装,文信A类授权（爱格，飞德莱，善诺胜，可丽芙）福人精板、兔宝宝,刚需客户/改善型客户/别墅客户,柜体板建议：爱格、菲德莱、吉林森工、兔宝宝 油漆类产品基材：红橡，樱桃木，胡桃木，北美黑胡桃，白蜡木，乌金 柜门板建议：爱格、菲德莱、可丽芙、善诺胜、福人精板 木,精板F4星，兔宝宝enf级实木多层，模压板，吉林森工实木多层ENF级 板材品类 柜体板建议：爱格、菲德莱、吉林森工、兔宝宝 油漆类产品基材：红橡，樱桃木，胡桃木，北美黑胡桃，白蜡木，乌金 柜门板建议：爱格、菲德莱、可丽芙、善诺胜、福人精板 木,DTC，奥地利百隆 国产五金优先考虑DTC,1199/投影起,使用大厂封边带，类似华立、红棉花、兄奕、欧德雅等,艺优势里面最不值一提的一个。,德国豪迈激光封边机 仅是封边的美观度，还有开孔的精密度，这对于提高柜体的稳定性和耐用性至关重要。 同时，越高端的五金对定位开孔的精度要求越高，定位误差越小，五金使用越顺滑，使用寿命越长,单元柜 。IF调整脚的使用，也可以有效克服顶地不平的情况，使柜体安装效果更好。,三合一为主，部分文信25层板的工艺用四合一，进口IF连接件、调整脚,收费1000~3000元 会在免费设计的公司工作，因为工作强度和收入不成正比。建议根据自身需求选择,测量后不可退，方案不满意可退,室内设计师4名，全屋定制设计师6名，设计总监3名，图纸深化师1名,7-15天，根据设计师手里案子情况决定 常规水平,无,稳定合作安装师傅4名,地面保护主要是防止柜子安装过程中的划伤，特别是保护木地板，一套房的地面保护成本大约大几,会进行地面保护 百的水平，也是体现商家服务水平比较直观的点 有专职售后人员是售后问题快速响应的必备前提，特别是在出现不需要返厂的售后问题时，有专职,有，2名,板材10年质保，国产五金5年，进口五金10年,一般为45天工作日左右，油漆类60天左右 赔付标准需协商明确,不留 个人认为是否留尾款不属于判断全屋定制是否靠谱的核心因素，奈何太多人关心，还是放上来,定金+签合同付部分货款+复测完确定好最终方案付尾款,上海诸多文信授权商家中综合实力较强且比较重视服务的一家店，有整案能力，老板靠谱实在,设计/整案能力较强；性价比或入门价格有优势；售后响应配置较明确；柜体/封边工艺配置较完整,定金退款规则需提前确认；工期不算短，需确认逾期责任；预算门槛可能偏高,白名单商家信息表-上海汇总(1).pdf,pdf,,,page 2,medium
SH-003,vendor,上海,,,,,,上海 徐汇区 上海市徐汇区宜山路欧雅广场,全屋定制；柜体定制,中预算/性价比,,宝宝，爱格，芬萨，可丽芙，飞德莱，巴西博耐克，实木贴皮，烤漆门 柜体板建议：芦花板、新港仿生板、爱格、菲德莱 板，胡桃木，樱桃木，白橡木，油栎木，榆木，橡胶木等板材 柜门板建议：爱格、芦花、芬萨、可丽芙、博耐克 标配：DTC 图特，滑轨为图特全拉托底轨，进口五金：奥地利百隆，海,爱格；可丽芙；菲德莱；水性科天；福人,一般为45个工作日（特殊订单需延长） 赔付标准需协商明确,,猴哥/大V白名单资料,门店三（白名单3.0门店）,,魏总,上海市徐汇区宜山路欧雅广场,徐汇区,写字楼工作室,福人精板，水性科天精板，芦花板精板，露水河精板，仿生板等国产板材。爱格，芬萨等进口板材,刚需客户，精装客户，毛坯客户，豪宅客户,宝宝，爱格，芬萨，可丽芙，飞德莱，巴西博耐克，实木贴皮，烤漆门 柜体板建议：芦花板、新港仿生板、爱格、菲德莱 板，胡桃木，樱桃木，白橡木，油栎木，榆木，橡胶木等板材 柜门板建议：爱格、芦花、芬萨、可丽芙、博耐克 标配：DTC 图特，滑轨为图特全拉托底轨，进口五金：奥地利百隆，海,板材品类 宝宝，爱格，芬萨，可丽芙，飞德莱，巴西博耐克，实木贴皮，烤漆门 柜体板建议：芦花板、新港仿生板、爱格、菲德莱 板，胡桃木，樱桃木，白橡木，油栎木，榆木，橡胶木等板材 柜门板建议：爱格、芦花、芬萨、可丽芙、博耐克 标配：DTC 图特，滑轨为图特全拉托底轨，进口五金：奥地利百隆，海,国产优先DTC 蒂诗，萨里奇,1080/投影,封边 封边工艺,封边设备 极东的PUR 极东是国产设备龙头，做柜体足够用了,极东的PUR 极东是国产设备龙头，做柜体足够用了,柜体,三合一连接件 无调整脚 （橱柜有调整脚）,图 会在免费设计的公司工作，因为工作强度和收入不成正比。建议根据自身需求选择,方案不满意可退一半，客户自愿取消合作不退,设计师6名,两周起,否,8名,根据订单总金额而定，金额大的会做地面保护，金额小的利润无法支持 地面保护主要是防止柜子安装过程中的划伤，特别是保护木地板，一套房的地面保护成本大约大几,进行地面保护 百的水平，也是体现商家服务水平比较直观的点 有专职售后人员是售后问题快速响应的必备前提，特别是在出现不需要返厂的售后问题时，有专职,三名,五年质保，终身维护,一般为45个工作日（特殊订单需延长） 赔付标准需协商明确,协商 个人认为是否留尾款不属于判断全屋定制是否靠谱的核心因素，奈何太多人关心，还是放上来,定金+签合同付90%货款+货到现场付剩下尾款,白名单老店，服务水平提高的非常快，近一年0投诉，性价比很高,设计/整案能力较强；性价比或入门价格有优势；售后响应配置较明确；柜体/封边工艺配置较完整,定金退款规则需提前确认；工期不算短，需确认逾期责任；预算门槛可能偏高,白名单商家信息表-上海汇总(1).pdf,pdf,,,page 3,medium
HZ-004,vendor,杭州,https://pengshengdesign.com,+86 13735800742,m5637379@gmail.com,PengshengDesign,拱墅工作室：杭州市拱墅区影天像素园澎升设计；临平全屋定制木作展厅：杭州市临平区元星大厦澎升设计,杭州 拱墅区 临平区；拱墅工作室；临平全屋定制木作展厅；杭州市拱墅区影天像素园澎升设计；杭州市临平区元星大厦澎升设计,全屋定制；柜体定制；整案/设计服务；私宅设计；软装；全屋定制木作,中高预算/高配置,,免漆板材： 爱格、 可丽芙、 亿维雅、 韩伟乐、 靓时 油漆板材： 天然木皮。混油,爱格；可丽芙；靓时,一般为60个工作日（特殊订单需延长）,2026-07-08,猴哥/大V白名单资料,门店一（白名单4.0门店）,澎升设计 Pengsheng Design,马老师,杭州市拱墅区影天像素园澎升设计,拱墅区,设计公司/工作室/木作展厅,惟嘉工厂授权,改善型客户、平层、别墅客户,免漆板材： 爱格、 可丽芙、 亿维雅、 韩伟乐、 靓时 油漆板材： 天然木皮。混油,猴哥推荐搭配（基于板材物理性能和饰面美观度考虑） 柜体板建议： 爱格、 亿维雅、 韩伟乐 柜门板建议： 爱格、 可丽芙、 亿维雅、 韩伟乐、 靓时,奥地利百隆,1500/投影,ABS/PP,激光 / PUR,豪迈激光封边机,单元柜,进口IF四合一、 调整脚,全案设计收设计费/定制设计收预估价10%,服务后定金不退 ，方案做到满意为止,设计师8名、 建模1名,15天左右,无,8名,重新生产,保护,1名,五金5年 ，木作5年,一般为60个工作日（特殊订单需延长）,不留尾款,定金+签合同付清尾款,设计师创作能力强，管理能力突出，有pmp证书、擅长全案设计、整案输出；可以溯源、可做的工艺类型比较多；服务能力与目标客群匹配度较高， 改善客户满意度和转介绍率高；猴哥推荐搭配（基于板材物理性能和饰面美观度考虑） 柜体板建议： 爱格、 亿维雅、 韩伟乐 柜门板建议： 爱格、 可丽芙、 亿维雅、 韩伟乐、 靓时；高配封边带，ABS/PP封边带的环保水平较高 ，价格也高于PVC封边带；文信标配工艺， 虽然互联网平台上提及文信主要是说他们激光封边优秀 ，个人认为这仅仅是文信工 艺优势里面最不值一提的一个。 文信工艺最有价值的地方是柜体而非柜门，全套进口加工设备（而非仅仅是进口封边机） 带来的不 仅是封边的美观度，还有开孔的精密度，这对于提高柜体的稳定性和耐用性至关重要。 同时，越高端的五金对定位开孔的精度要求越高 ， 定位误差越小， 五金使用越顺滑 ，使用寿命越长 。 IF调整脚的使用， 也可以有效克服顶地不平的情况 ， 使柜体安装效果更好。 进口连接件和调整脚 ，这是大多数国内代工厂没有应用的。；虽然市场上有很多免费测量、 设计的公司 ，但是另一个市场现实也同样存在 ， 就是优秀的设计师不 会在免费设计的公司工作 ， 因为工作强度和收入不成正比 。 建议根据自身需求选择；杭州较高水平；常规水平；杭州最高；配置较高，通常破损不严重的地方大多数商家采取补漆处理；地面保护主要是防止柜子安装过程中的划伤，特别是保护木地板 ， 一套房的地面保护成本大约大几 百的水平， 也是体现商家服务水平比较直观的点；有专职售后人员是售后问题快速响应的必备前提 ，特别是在出现不需要返厂的售后问题时， 有专职 售后人员的门店能给客户更好的服务体验；个人认为是否留尾款不属于判断全屋定制是否靠谱的核心因素， 奈何太多人关心 ，还是放上来；官网补充：澎升设计 Pengsheng Design，定位为杭州本土化设计公司，强调私宅设计、产品设计、软装与全屋定制服务；官网列出木作/全屋定制、拱墅工作室和临平全屋定制木作展厅。,设计/整案能力较强；售后响应配置较明确；柜体/封边工艺配置较完整,定金退款规则需提前确认；工期不算短，需确认逾期责任；付款节点偏前，合同边界要写清；预算门槛可能偏高,白名单商家信息表-杭州汇总(2).xlsx；pengshengdesign.com 官网,xlsx,,,rows 2-34,high
HZ-005,vendor,杭州,,,,,,杭州 西湖区 杭州市西湖区古墩路888号红星美凯龙至尊茂,全屋定制；柜体定制,中高预算/高配置,,免漆板材： 爱格、 可丽芙、 菲德莱、 善诺胜、 文信木恪 油漆板材： 天然木皮,爱格；可丽芙；菲德莱,一般为60个工作日（特殊订单需延长）,,猴哥/大V白名单资料,门店二（白名单4.0门店）,,孙老师,杭州市西湖区古墩路888号红星美凯龙至尊茂,西湖区,商场店,文信木特专卖店,改善型客户,免漆板材： 爱格、 可丽芙、 菲德莱、 善诺胜、 文信木恪 油漆板材： 天然木皮,猴哥推荐搭配（基于板材物理性能和饰面美观度考虑） 柜体板建议： 爱格、 菲德莱、 文信木恪 柜门板建议： 爱格、 可丽芙、 菲德莱、 善诺胜,奥地利百隆,1500/投影,ABS/PP,激光 / PUR,豪迈激光封边机,单元柜,进口IF四合一、 调整脚,先收定金： 10000元 。 再出效果图,服务后定金不退 ，方案做到满意为止,设计师8名、 建模1名,15天左右,无,8名,重新生产,保护,1名,五金10年 ，木作1年,一般为60个工作日（特殊订单需延长）,不留尾款,定金+签合同付清尾款,白名单好评度和稳定性最高的一家店， 五年0投诉 ， 团队管理水平在定制行业里面算是比较高的 了， 主打一个稳 。 有整案能力，支持局改 ，有软装部；浙江省提货量最大的文信经销商，全国排前五 ， 实力没的说；服务能力与目标客群匹配度较高， 改善客户满意度和转介绍率高；猴哥推荐搭配（基于板材物理性能和饰面美观度考虑） 柜体板建议： 爱格、 菲德莱、 文信木恪 柜门板建议： 爱格、 可丽芙、 菲德莱、 善诺胜；高配封边带，ABS/PP封边带的环保水平较高 ，价格也高于PVC封边带；文信标配工艺， 虽然互联网平台上提及文信主要是说他们激光封边优秀 ，个人认为这仅仅是文信工 艺优势里面最不值一提的一个。 文信工艺最有价值的地方是柜体而非柜门，全套进口加工设备（而非仅仅是进口封边机） 带来的不 仅是封边的美观度，还有开孔的精密度，这对于提高柜体的稳定性和耐用性至关重要。 同时，越高端的五金对定位开孔的精度要求越高 ， 定位误差越小， 五金使用越顺滑 ，使用寿命越长 。 IF调整脚的使用， 也可以有效克服顶地不平的情况 ， 使柜体安装效果更好。 进口连接件和调整脚 ，这是大多数国内代工厂没有应用的。；虽然市场上有很多免费测量、 设计的公司 ，但是另一个市场现实也同样存在 ， 就是优秀的设计师不 会在免费设计的公司工作 ， 因为工作强度和收入不成正比 。 建议根据自身需求选择；杭州较高水平；常规水平；杭州天花板水平（高定除外）；配置较高，通常破损不严重的地方大多数商家采取补漆处理；地面保护主要是防止柜子安装过程中的划伤，特别是保护木地板 ， 一套房的地面保护成本大约大几 百的水平， 也是体现商家服务水平比较直观的点；有专职售后人员是售后问题快速响应的必备前提 ，特别是在出现不需要返厂的售后问题时， 有专职 售后人员的门店能给客户更好的服务体验；个人认为是否留尾款不属于判断全屋定制是否靠谱的核心因素， 奈何太多人关心 ，还是放上来,设计/整案能力较强；售后响应配置较明确；柜体/封边工艺配置较完整,定金退款规则需提前确认；工期不算短，需确认逾期责任；付款节点偏前，合同边界要写清；预算门槛可能偏高,白名单商家信息表-杭州汇总(2).xlsx,xlsx,,,rows 35-67,high
HZ-006,vendor,杭州,,,,,,杭州 西湖区 杭州市西湖区古墩路701号红星美凯龙世博家居生活广场,全屋定制；柜体定制,中预算/性价比,,免漆类板材品牌： 爱格、 善诺胜、 可丽芙、 菲德来、 文信绿芯、 福人、 岭南木色ENF级海洋板、 靓时、 奥凯奇 油漆类产品基材： 红橡 ，樱桃木，榆木 ， 胡桃木（木皮）,ENF；爱格；可丽芙；靓时；福人,合同75个工作日（不可抗拒因素顺延）,,猴哥/大V白名单资料,门店三（白名单4.0门店）,,陈老师,杭州市西湖区古墩路701号红星美凯龙世博家居生活广场,西湖区,商场店,文信A,改善型/豪宅,免漆类板材品牌： 爱格、 善诺胜、 可丽芙、 菲德来、 文信绿芯、 福人、 岭南木色ENF级海洋板、 靓时、 奥凯奇 油漆类产品基材： 红橡 ，樱桃木，榆木 ， 胡桃木（木皮）,猴哥推荐搭配（基于板材物理性能和饰面美观度考虑） 柜体板建议： 爱格、 岭南木色、 靓时、 菲德莱、 文信绿芯 柜门板建议： 爱格、 可丽芙、 靓时、 福人精板、 善诺胜,标配： 奥利百隆 一字铰链 托底轨钢板抽（DTC 海蒂诗等可选）,1199,abs,激光 / PUR,进口板， 豪迈激光封边机,单元柜,意大利IF调整脚 JW12连接件,先收定金， 后测量,方案满意为止， 定金不可退,设计师6名 ， 软装设计师3名 ，硬装设计师1名,10-15天,自有设计师,自有安装班组4组,重新生产 ，修补（视情况而定）,安装前铺设,2名,柜体5年五金10年（国产五金、 油漆产品另议）,合同75个工作日（不可抗拒因素顺延）,协商,定金+签合同付部分货款+货到现场付全款（尾款协商）,杭州文信经销商里面性价比最高的一家（非最低价） ，服务配置基本对齐拜哈木特 ，但是该店有美 的集团补贴支持，运营成本更低，售价也比拜哈木特要低一些；服务能力与目标客群匹配度较高， 改善型客户满意度和转介绍率高；猴哥推荐搭配（基于板材物理性能和饰面美观度考虑） 柜体板建议： 爱格、 岭南木色、 靓时、 菲德莱、 文信绿芯 柜门板建议： 爱格、 可丽芙、 靓时、 福人精板、 善诺胜；国产优先DTC ，但是做文信的柜体最好用百隆；高配封边带，ABS封边带的环保水平较高 ，价格也高于PVC封边带；文信标配工艺， 虽然互联网平台上提及文信主要是说他们激光封边优秀 ，个人认为这仅仅是文信工 艺优势里面最不值一提的一个。 文信工艺最有价值的地方是柜体而非柜门，全套进口加工设备（而非仅仅是进口封边机） 带来的不 仅是封边的美观度，还有开孔的精密度，这对于提高柜体的稳定性和耐用性至关重要。 同时，越高端的五金对定位开孔的精度要求越高 ， 定位误差越小， 五金使用越顺滑 ，使用寿命越长 。 IF调整脚的使用， 也可以有效克服顶地不平的情况 ， 使柜体安装效果更好。 进口连接件和调整脚 ，这是大多数国内代工厂没有应用的。；虽然市场上有很多免费测量、 设计的公司 ，但是另一个市场现实也同样存在 ， 就是优秀的设计师不 会在免费设计的公司工作 ， 因为工作强度和收入不成正比 。 建议根据自身需求选择；杭州较高水平；常规水平；杭州天花板水平（高定除外）；常规操作；地面保护主要是防止柜子安装过程中的划伤，特别是保护木地板 ， 一套房的地面保护成本大约大几 百的水平， 也是体现商家服务水平比较直观的点；有专职售后人员是售后问题快速响应的必备前提 ，特别是在出现不需要返厂的售后问题时， 有专职 售后人员的门店能给客户更好的服务体验；个人认为是否留尾款不属于判断全屋定制是否靠谱的核心因素， 奈何太多人关心 ，还是放上来,设计/整案能力较强；性价比或入门价格有优势；售后响应配置较明确；柜体/封边工艺配置较完整,定金退款规则需提前确认；工期不算短，需确认逾期责任；付款节点偏前，合同边界要写清；预算门槛可能偏高,白名单商家信息表-杭州汇总(2).xlsx,xlsx,,,rows 68-100,high
HZ-007,vendor,杭州,,,,,,杭州 滨江区 滨江区,全屋定制；柜体定制,性价比/预算友好,,爱格 福人 兔宝宝 千年舟 大王椰 悦纹 可丽芙 欧卡菲 橡胶木 新西 兰松木 亿维雅 烤漆 混油 水性漆,爱格；可丽芙；福人；兔宝宝,定制周期根据板材品牌而定 库存内15到25天 非库存内 35到45天 逾期 赔付合同金额3%,,猴哥/大V白名单资料,门店四（白名单3.0门店）,,向总,滨江区,滨江区,工厂店,爱格 福人 兔宝宝 千年舟 大王椰 悦纹,刚需改善和部分豪宅,爱格 福人 兔宝宝 千年舟 大王椰 悦纹 可丽芙 欧卡菲 橡胶木 新西 兰松木 亿维雅 烤漆 混油 水性漆,猴哥推荐搭配（基于板材物理性能和饰面美观度考虑） 柜体板建议： 爱格、 欧卡菲、 新西兰松木 柜门板建议： 爱格、 可丽芙、 悦纹、 福人,标配DTC或者悍高 可选择升级百隆 海蒂诗 补差每投影100,980,均有 不同板材厂家配置,激光 pur (门板体系内纯色免费升级激光),豪迈 豪德,多为单元柜 具体会因实际设计而定,国产三合一 二合一 要求可升级进口IF五金连接件,先收取定金后量尺 5000定金 投影多会适当调整定金金额,可退 方案不满意扣除工本费1500元其余全退,设计4名,7天,无,两组安装师傅 每组配备2个师傅一个小工共计6名,影响结构 破损无法使用等重新生产 小磕碰美容师修复,单值超过6万进场前会进行地面保护 低于会使用板材包装材料进行铺装 保护,1个,进口五年 国产三年,定制周期根据板材品牌而定 库存内15到25天 非库存内 35到45天 逾期 赔付合同金额3%,不留 如强烈需要会留1到3千元,定金 签合同95货款 发货时全额付清,自有工厂，体量比较大 ，授权齐全， 自有团队配置到位 ， 改补速度快 。 惟嘉爱格在杭州最大的授权 商之一；服务能力与目标客群匹配度较高， 刚需型客户满意度和转介绍率高；猴哥推荐搭配（基于板材物理性能和饰面美观度考虑） 柜体板建议： 爱格、 欧卡菲、 新西兰松木 柜门板建议： 爱格、 可丽芙、 悦纹、 福人；国产优先DTC；非异形件尽量选择ABS封边带 ，环保更有确定性 。 异形件必须使用PVC封边带的， 务必使用大品牌产品；建议有条件的客户上单元柜 ，更稳定耐用 ， 单元柜用板量更大；虽然市场上有很多免费测量、 设计的公司 ，但是另一个市场现实也同样存在 ， 就是优秀的设计师不 会在免费设计的公司工作 ， 因为工作强度和收入不成正比 。 建议根据自身需求选择；杭州中等水平；常规水平；杭州中上水平；常规操作；地面保护主要是防止柜子安装过程中的划伤，特别是保护木地板 ， 一套房的地面保护成本大约大几 百的水平， 也是体现商家服务水平比较直观的点；有专职售后人员是售后问题快速响应的必备前提 ，特别是在出现不需要返厂的售后问题时， 有专职 售后人员的门店能给客户更好的服务体验；个人认为是否留尾款不属于判断全屋定制是否靠谱的核心因素， 奈何太多人关心 ，还是放上来,设计/整案能力较强；交付速度有优势；性价比或入门价格有优势；售后响应配置较明确；柜体/封边工艺配置较完整,付款节点偏前，合同边界要写清；预算门槛可能偏高,白名单商家信息表-杭州汇总(2).xlsx,xlsx,,,rows 101-133,high
XHS-20240628-V01,vendor,杭州,,,,,,杭州,全屋定制；柜体定制,,,,,,,猴哥/大V白名单资料,小红书博主列出商家,DCEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,来自小红书笔记《后续来了，增加两家重量级全屋定制探店记录》。正文提到新增 DCEO 和马库住建工厂；图片/表格明细未完整结构化抽取。原文评分权重：口碑5%、展厅5%、设计25%、价格/性价比25%、服务20%、工艺20%。案例条件：二手房，投影面积40~42㎡，中古风；柜体考虑国产或者进口二线品牌，柜门使用爱格。,博主探店笔记明确列出；可作为杭州候选商家线索,缺少结构化价格、地址、材料、工艺、售后等字段；需补具体截图/原表或二次核验后再强推荐,后续来了，增加两家重量级全屋定制探店记录,xiaohongshu_url,呼伦贝尔的风,2024-06-28,,low
XHS-20240628-001,external_note,杭州,,,,,,,,,,,,,,,小红书探店笔记,DCEO；马库住建工厂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后续来了，增加两家重量级全屋定制探店记录。作者提到新增 DCEO 和马库住建工厂。评分权重：口碑5%、展厅5%、设计25%、价格/性价比25%、服务20%、工艺20%。案例条件：二手房，投影面积40~42㎡，中古风；柜体考虑国产或者进口二线品牌，柜门使用爱格。原文提示资料为个人主观感受，只可大致参考，不作为决策依据。,提供评分维度和权重；可作为用户自评/推荐排序参考；补充两个杭州候选商家线索,网页正文未包含图片表格明细；需补截图或原始表格后才能精确入库,后续来了，增加两家重量级全屋定制探店记录,xiaohongshu_url,呼伦贝尔的风,2024-06-28,,medium
XHS-SEARCH-20260708-001,external_note,杭州,,,,,,,,,,,,,,,小红书搜索入口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小红书搜索入口，关键词为“杭州全屋定制排名”。网页可见标题和筛选入口，但未暴露具体笔记卡片、作者、日期或正文。该来源适合作为后续检索入口，不适合作为单独商家推荐证据。后续可从该搜索页挑选具体笔记 URL、截图或原始表格后再拆分入库。,可持续发现杭州全屋定制排名/避坑/探店相关笔记；适合后续人工筛选具体来源,搜索页没有稳定披露具体笔记内容；不能直接用于推荐结论；需二次打开具体笔记或保存截图,杭州全屋定制排名 - 小红书搜索,xiaohongshu_search_url,,2026-07-08,,low
